date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:09:08	2430/2430	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c40fe2b-97e%22	https://riperiperi.github.io/amebo/iphone/deleteControls.svg	/home/abn/websites/gbc/riperiperi.github.io/amebo/iphone/deleteControls.svg	(from https://riperiperi.github.io/amebo/iphone.html)
12:09:09	5686/5686	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c40fe2b-1636%22	https://riperiperi.github.io/amebo/iphone/ROMs.svg	/home/abn/websites/gbc/riperiperi.github.io/amebo/iphone/ROMs.svg	(from https://riperiperi.github.io/amebo/iphone.html)
12:09:10	32674/32674	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c40fe2b-7fa2%22	https://riperiperi.github.io/amebo/iphone/States.svg	/home/abn/websites/gbc/riperiperi.github.io/amebo/iphone/States.svg	(from https://riperiperi.github.io/amebo/iphone.html)
12:09:11	7589/7589	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c40fe2b-1da5%22	https://riperiperi.github.io/amebo/iphone/Controls.svg	/home/abn/websites/gbc/riperiperi.github.io/amebo/iphone/Controls.svg	(from https://riperiperi.github.io/amebo/iphone.html)
12:09:12	7010/7010	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c40fe2b-1b62%22	https://riperiperi.github.io/amebo/iphone/Options.svg	/home/abn/websites/gbc/riperiperi.github.io/amebo/iphone/Options.svg	(from https://riperiperi.github.io/amebo/iphone.html)
12:09:13	1082/1082	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c40fe2b-43a%22	https://riperiperi.github.io/amebo/gbs/bg.svg	/home/abn/websites/gbc/riperiperi.github.io/amebo/gbs/bg.svg	(from https://riperiperi.github.io/amebo/gbsplayer.html)
12:09:14	593/593	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c40fe2b-251%22	https://riperiperi.github.io/amebo/gbs/play.svg	/home/abn/websites/gbc/riperiperi.github.io/amebo/gbs/play.svg	(from https://riperiperi.github.io/amebo/gbsplayer.html)
12:09:15	655/655	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c40fe2b-28f%22	https://riperiperi.github.io/amebo/gbs/pause.svg	/home/abn/websites/gbc/riperiperi.github.io/amebo/gbs/pause.svg	(from https://riperiperi.github.io/amebo/gbsplayer.html)
12:09:16	1148/1148	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c40fe2b-47c%22	https://riperiperi.github.io/amebo/gbs/fadeover.svg	/home/abn/websites/gbc/riperiperi.github.io/amebo/gbs/fadeover.svg	(from https://riperiperi.github.io/amebo/gbsplayer.html)
12:09:17	645/645	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c40fe2b-285%22	https://riperiperi.github.io/amebo/gbs/lefta.svg	/home/abn/websites/gbc/riperiperi.github.io/amebo/gbs/lefta.svg	(from https://riperiperi.github.io/amebo/gbsplayer.html)
12:09:18	639/639	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c40fe2b-27f%22	https://riperiperi.github.io/amebo/gbs/righta.svg	/home/abn/websites/gbc/riperiperi.github.io/amebo/gbs/righta.svg	(from https://riperiperi.github.io/amebo/gbsplayer.html)
12:09:19	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225cbe35bd-247b%22	https://riperiperi.github.io/amebo/POST	/home/abn/websites/gbc/riperiperi.github.io/amebo/POST	(from https://riperiperi.github.io/amebo/gbsplayer.html)
12:10:28	57074/57074	URF---	200	added ('OK%20(cached)')	image/png		https://riperiperi.github.io/amebo/images/control/bg.png	/home/abn/websites/gbc/riperiperi.github.io/amebo/images/control/bg.png	(from https://riperiperi.github.io/amebo/)
12:10:30	33667/33667	URF---	200	added ('OK%20(cached)')	image/png		https://riperiperi.github.io/amebo/images/cart.png	/home/abn/websites/gbc/riperiperi.github.io/amebo/images/cart.png	(from https://riperiperi.github.io/amebo/)
12:10:30	35603/35603	URF---	200	added ('OK%20(cached)')	image/png		https://riperiperi.github.io/amebo/iphone/5start.png	/home/abn/websites/gbc/riperiperi.github.io/amebo/iphone/5start.png	(from https://riperiperi.github.io/amebo/iphone.html)
12:10:30	10545/10545	URF---	200	added ('OK%20(cached)')	image/png		https://riperiperi.github.io/amebo/iphone/icon120.png	/home/abn/websites/gbc/riperiperi.github.io/amebo/iphone/icon120.png	(from https://riperiperi.github.io/amebo/iphone.html)
